date,category,vaccination,units
10-12-2022,15-18 Age 2nd Dose,"5,35,50,502",vaccination in absolute number
09-12-2022,18+ Age 1st Dose,"92,21,18,857",vaccination in absolute number
09-12-2022,18+ Age 24hr Vaccination,"2,591",vaccination in absolute number
09-12-2022,18+ Age 2nd Dose,"86,49,63,743",vaccination in absolute number
09-12-2022,15-18 Age 1st Dose,"6,20,87,362",vaccination in absolute number
09-12-2022,15-18 Age 2nd Dose,"5,35,44,737",vaccination in absolute number
08-12-2022,18+ Age 1st Dose,"92,21,16,266",vaccination in absolute number
08-12-2022,18+ Age 24hr Vaccination,"3,033",vaccination in absolute number
08-12-2022,18+ Age 2nd Dose,"86,49,54,002",vaccination in absolute number
08-12-2022,15-18 Age 1st Dose,"6,20,85,641",vaccination in absolute number
08-12-2022,15-18 Age 2nd Dose,"5,35,38,589",vaccination in absolute number
07-12-2022,18+ Age 1st Dose,"92,21,13,233",vaccination in absolute number
07-12-2022,18+ Age 24hr Vaccination,"2,394",vaccination in absolute number
07-12-2022,18+ Age 2nd Dose,"86,49,44,765",vaccination in absolute number
07-12-2022,15-18 Age 1st Dose,"6,20,83,943",vaccination in absolute number
07-12-2022,15-18 Age 2nd Dose,"5,35,33,443",vaccination in absolute number
06-12-2022,18+ Age 1st Dose,"92,21,10,839",vaccination in absolute number
06-12-2022,18+ Age 24hr Vaccination,"2,425",vaccination in absolute number
06-12-2022,18+ Age 2nd Dose,"86,49,37,336",vaccination in absolute number
06-12-2022,15-18 Age 1st Dose,"6,20,82,317",vaccination in absolute number
06-12-2022,15-18 Age 2nd Dose,"5,35,29,397",vaccination in absolute number
05-12-2022,18+ Age 1st Dose,"92,21,08,414",vaccination in absolute number
05-12-2022,18+ Age 24hr Vaccination,404,vaccination in absolute number
05-12-2022,18+ Age 2nd Dose,"86,49,29,100",vaccination in absolute number
05-12-2022,15-18 Age 1st Dose,"6,20,80,913",vaccination in absolute number
05-12-2022,15-18 Age 2nd Dose,"5,35,24,934",vaccination in absolute number
04-12-2022,18+ Age 1st Dose,"92,21,08,010",vaccination in absolute number
04-12-2022,18+ Age 24hr Vaccination,"2,260",vaccination in absolute number
04-12-2022,18+ Age 2nd Dose,"86,49,27,709",vaccination in absolute number
04-12-2022,15-18 Age 1st Dose,"6,20,80,677",vaccination in absolute number
04-12-2022,15-18 Age 2nd Dose,"5,35,24,349",vaccination in absolute number
03-12-2022,18+ Age 1st Dose,"92,21,05,750",vaccination in absolute number
03-12-2022,18+ Age 24hr Vaccination,"2,587",vaccination in absolute number
03-12-2022,18+ Age 2nd Dose,"86,49,17,711",vaccination in absolute number
03-12-2022,15-18 Age 1st Dose,"6,20,79,054",vaccination in absolute number
03-12-2022,15-18 Age 2nd Dose,"5,35,20,815",vaccination in absolute number
02-12-2022,18+ Age 1st Dose,"92,21,03,163",vaccination in absolute number
02-12-2022,18+ Age 24hr Vaccination,"2,539",vaccination in absolute number
02-12-2022,18+ Age 2nd Dose,"86,49,08,091",vaccination in absolute number
02-12-2022,15-18 Age 1st Dose,"6,20,77,556",vaccination in absolute number
02-12-2022,15-18 Age 2nd Dose,"5,35,16,970",vaccination in absolute number
01-12-2022,18+ Age 1st Dose,"92,21,00,624",vaccination in absolute number
01-12-2022,18+ Age 24hr Vaccination,"2,817",vaccination in absolute number
01-12-2022,18+ Age 2nd Dose,"86,48,97,384",vaccination in absolute number
01-12-2022,15-18 Age 1st Dose,"6,20,75,906",vaccination in absolute number
01-12-2022,15-18 Age 2nd Dose,"5,35,12,937",vaccination in absolute number
30-11-2022,18+ Age 1st Dose,"92,20,97,807",vaccination in absolute number
30-11-2022,18+ Age 24hr Vaccination,"3,022",vaccination in absolute number
30-11-2022,18+ Age 2nd Dose,"86,48,84,988",vaccination in absolute number
30-11-2022,15-18 Age 1st Dose,"6,20,74,239",vaccination in absolute number
30-11-2022,15-18 Age 2nd Dose,"5,35,08,201",vaccination in absolute number
29-11-2022,18+ Age 1st Dose,"92,20,94,785",vaccination in absolute number
29-11-2022,18+ Age 24hr Vaccination,"2,470",vaccination in absolute number
29-11-2022,18+ Age 2nd Dose,"86,48,71,186",vaccination in absolute number
29-11-2022,15-18 Age 1st Dose,"6,20,72,616",vaccination in absolute number
29-11-2022,15-18 Age 2nd Dose,"5,35,02,344",vaccination in absolute number
28-11-2022,18+ Age 1st Dose,"92,20,92,315",vaccination in absolute number
28-11-2022,18+ Age 24hr Vaccination,360,vaccination in absolute number
28-11-2022,18+ Age 2nd Dose,"86,48,60,545",vaccination in absolute number
28-11-2022,15-18 Age 1st Dose,"6,20,71,158",vaccination in absolute number
28-11-2022,15-18 Age 2nd Dose,"5,34,96,960",vaccination in absolute number
27-11-2022,18+ Age 1st Dose,"92,20,91,955",vaccination in absolute number
