date,category,vaccination,units
06-08-2022,18+ Age 24hr Vaccination,53010,vaccination in absolute number
06-08-2022,18+ Age 2nd Dose,855149719,vaccination in absolute number
06-08-2022,15-18 Age 1st Dose,61329558,vaccination in absolute number
06-08-2022,15-18 Age 2nd Dose,51402118,vaccination in absolute number
05-08-2022,18+ Age 1st Dose,919721946,vaccination in absolute number
05-08-2022,18+ Age 24hr Vaccination,63196,vaccination in absolute number
05-08-2022,18+ Age 2nd Dose,854902594,vaccination in absolute number
05-08-2022,15-18 Age 1st Dose,61302501,vaccination in absolute number
05-08-2022,15-18 Age 2nd Dose,51334209,vaccination in absolute number
04-08-2022,18+ Age 1st Dose,919658750,vaccination in absolute number
04-08-2022,18+ Age 24hr Vaccination,50380,vaccination in absolute number
04-08-2022,18+ Age 2nd Dose,854581709,vaccination in absolute number
04-08-2022,15-18 Age 1st Dose,61264752,vaccination in absolute number
04-08-2022,15-18 Age 2nd Dose,51228469,vaccination in absolute number
03-08-2022,18+ Age 1st Dose,919608370,vaccination in absolute number
03-08-2022,18+ Age 24hr Vaccination,40595,vaccination in absolute number
03-08-2022,18+ Age 2nd Dose,854351868,vaccination in absolute number
03-08-2022,15-18 Age 1st Dose,61244472,vaccination in absolute number
03-08-2022,15-18 Age 2nd Dose,51161641,vaccination in absolute number
02-08-2022,18+ Age 1st Dose,919567775,vaccination in absolute number
02-08-2022,18+ Age 24hr Vaccination,41829,vaccination in absolute number
02-08-2022,18+ Age 2nd Dose,854157140,vaccination in absolute number
02-08-2022,15-18 Age 1st Dose,61221581,vaccination in absolute number
02-08-2022,15-18 Age 2nd Dose,51115466,vaccination in absolute number
01-08-2022,18+ Age 1st Dose,919525946,vaccination in absolute number
01-08-2022,18+ Age 24hr Vaccination,14040,vaccination in absolute number
01-08-2022,18+ Age 2nd Dose,853961696,vaccination in absolute number
01-08-2022,15-18 Age 1st Dose,61199410,vaccination in absolute number
01-08-2022,15-18 Age 2nd Dose,51070760,vaccination in absolute number
31-07-2022,18+ Age 1st Dose,919511906,vaccination in absolute number
31-07-2022,18+ Age 24hr Vaccination,52264,vaccination in absolute number
31-07-2022,18+ Age 2nd Dose,853904611,vaccination in absolute number
31-07-2022,15-18 Age 1st Dose,61195423,vaccination in absolute number
31-07-2022,15-18 Age 2nd Dose,51060366,vaccination in absolute number
30-07-2022,18+ Age 1st Dose,919459642,vaccination in absolute number
30-07-2022,18+ Age 24hr Vaccination,56373,vaccination in absolute number
30-07-2022,18+ Age 2nd Dose,853680062,vaccination in absolute number
30-07-2022,15-18 Age 1st Dose,61166990,vaccination in absolute number
30-07-2022,15-18 Age 2nd Dose,51010209,vaccination in absolute number
29-07-2022,18+ Age 1st Dose,919403269,vaccination in absolute number
29-07-2022,18+ Age 24hr Vaccination,78406,vaccination in absolute number
29-07-2022,18+ Age 2nd Dose,853442311,vaccination in absolute number
29-07-2022,15-18 Age 1st Dose,61139101,vaccination in absolute number
29-07-2022,15-18 Age 2nd Dose,50950062,vaccination in absolute number
28-07-2022,18+ Age 1st Dose,919324863,vaccination in absolute number
28-07-2022,18+ Age 24hr Vaccination,53897,vaccination in absolute number
28-07-2022,18+ Age 2nd Dose,853078578,vaccination in absolute number
28-07-2022,15-18 Age 1st Dose,61094113,vaccination in absolute number
28-07-2022,15-18 Age 2nd Dose,50800166,vaccination in absolute number
27-07-2022,18+ Age 1st Dose,919265599,vaccination in absolute number
27-07-2022,18+ Age 24hr Vaccination,48238,vaccination in absolute number
27-07-2022,18+ Age 2nd Dose,852793135,vaccination in absolute number
27-07-2022,15-18 Age 1st Dose,61068357,vaccination in absolute number
27-07-2022,15-18 Age 2nd Dose,50723244,vaccination in absolute number
26-07-2022,18+ Age 1st Dose,919212865,vaccination in absolute number
26-07-2022,18+ Age 24hr Vaccination,44796,vaccination in absolute number
26-07-2022,18+ Age 2nd Dose,852530818,vaccination in absolute number
26-07-2022,15-18 Age 1st Dose,61043195,vaccination in absolute number
26-07-2022,15-18 Age 2nd Dose,50671660,vaccination in absolute number
25-07-2022,18+ Age 1st Dose,919155450,vaccination in absolute number
25-07-2022,18+ Age 24hr Vaccination,81823,vaccination in absolute number
25-07-2022,18+ Age 2nd Dose,852249593,vaccination in absolute number
25-07-2022,15-18 Age 1st Dose,61018972,vaccination in absolute number
25-07-2022,15-18 Age 2nd Dose,50618242,vaccination in absolute number
24-07-2022,18+ Age 1st Dose,919067783,vaccination in absolute number
24-07-2022,18+ Age 24hr Vaccination,54300,vaccination in absolute number
24-07-2022,18+ Age 2nd Dose,851831379,vaccination in absolute number
24-07-2022,15-18 Age 1st Dose,61010313,vaccination in absolute number
24-07-2022,15-18 Age 2nd Dose,50593892,vaccination in absolute number
23-07-2022,18+ Age 1st Dose,919005675,vaccination in absolute number
23-07-2022,18+ Age 24hr Vaccination,56561,vaccination in absolute number
23-07-2022,18+ Age 2nd Dose,851548345,vaccination in absolute number
23-07-2022,15-18 Age 1st Dose,60988770,vaccination in absolute number
23-07-2022,15-18 Age 2nd Dose,50542921,vaccination in absolute number
22-07-2022,18+ Age 1st Dose,918940660,vaccination in absolute number
22-07-2022,18+ Age 24hr Vaccination,81873,vaccination in absolute number
22-07-2022,18+ Age 2nd Dose,851211514,vaccination in absolute number
22-07-2022,15-18 Age 1st Dose,60961790,vaccination in absolute number
22-07-2022,15-18 Age 2nd Dose,50476535,vaccination in absolute number
21-07-2022,18+ Age 1st Dose,918852084,vaccination in absolute number
21-07-2022,18+ Age 24hr Vaccination,59466,vaccination in absolute number
21-07-2022,18+ Age 2nd Dose,850761478,vaccination in absolute number
21-07-2022,15-18 Age 1st Dose,60924883,vaccination in absolute number
21-07-2022,15-18 Age 2nd Dose,50337271,vaccination in absolute number
20-07-2022,18+ Age 1st Dose,918787078,vaccination in absolute number
20-07-2022,18+ Age 24hr Vaccination,54441,vaccination in absolute number
20-07-2022,18+ Age 2nd Dose,850442598,vaccination in absolute number
20-07-2022,15-18 Age 1st Dose,60897295,vaccination in absolute number
20-07-2022,15-18 Age 2nd Dose,50269733,vaccination in absolute number
19-07-2022,18+ Age 1st Dose,918726714,vaccination in absolute number
19-07-2022,18+ Age 24hr Vaccination,52754,vaccination in absolute number
19-07-2022,18+ Age 2nd Dose,850138446,vaccination in absolute number
19-07-2022,15-18 Age 1st Dose,60873139,vaccination in absolute number
19-07-2022,15-18 Age 2nd Dose,50197765,vaccination in absolute number
18-07-2022,18+ Age 1st Dose,918668584,vaccination in absolute number
18-07-2022,18+ Age 24hr Vaccination,10287,vaccination in absolute number
18-07-2022,18+ Age 2nd Dose,849815264,vaccination in absolute number
18-07-2022,15-18 Age 1st Dose,60848302,vaccination in absolute number
18-07-2022,15-18 Age 2nd Dose,50131500,vaccination in absolute number
17-07-2022,18+ Age 1st Dose,918653285,vaccination in absolute number
17-07-2022,18+ Age 24hr Vaccination,47561,vaccination in absolute number
17-07-2022,18+ Age 2nd Dose,849726035,vaccination in absolute number
17-07-2022,15-18 Age 1st Dose,60843400,vaccination in absolute number
17-07-2022,15-18 Age 2nd Dose,50113916,vaccination in absolute number
16-07-2022,18+ Age 1st Dose,918598444,vaccination in absolute number
16-07-2022,18+ Age 24hr Vaccination,47732,vaccination in absolute number
16-07-2022,18+ Age 2nd Dose,849405526,vaccination in absolute number
16-07-2022,15-18 Age 1st Dose,60819753,vaccination in absolute number
16-07-2022,15-18 Age 2nd Dose,50042100,vaccination in absolute number
15-07-2022,18+ Age 1st Dose,918544699,vaccination in absolute number
15-07-2022,18+ Age 24hr Vaccination,65797,vaccination in absolute number
15-07-2022,18+ Age 2nd Dose,849044275,vaccination in absolute number
15-07-2022,15-18 Age 1st Dose,60795643,vaccination in absolute number
15-07-2022,15-18 Age 2nd Dose,49966327,vaccination in absolute number
14-07-2022,18+ Age 1st Dose,918472727,vaccination in absolute number
14-07-2022,18+ Age 24hr Vaccination,41545,vaccination in absolute number
14-07-2022,18+ Age 2nd Dose,848576744,vaccination in absolute number
14-07-2022,15-18 Age 1st Dose,60762753,vaccination in absolute number
14-07-2022,15-18 Age 2nd Dose,49822795,vaccination in absolute number
13-07-2022,18+ Age 1st Dose,918425105,vaccination in absolute number
13-07-2022,18+ Age 24hr Vaccination,35208,vaccination in absolute number
13-07-2022,18+ Age 2nd Dose,848190028,vaccination in absolute number
13-07-2022,15-18 Age 1st Dose,60740916,vaccination in absolute number
13-07-2022,15-18 Age 2nd Dose,49741704,vaccination in absolute number
12-07-2022,18+ Age 1st Dose,918386060,vaccination in absolute number
12-07-2022,18+ Age 24hr Vaccination,34669,vaccination in absolute number
12-07-2022,18+ Age 2nd Dose,847833870,vaccination in absolute number
12-07-2022,15-18 Age 1st Dose,60719921,vaccination in absolute number
12-07-2022,15-18 Age 2nd Dose,49664469,vaccination in absolute number
11-07-2022,18+ Age 1st Dose,918340901,vaccination in absolute number
11-07-2022,18+ Age 24hr Vaccination,122971,vaccination in absolute number
11-07-2022,18+ Age 2nd Dose,847506241,vaccination in absolute number
11-07-2022,15-18 Age 1st Dose,60699630,vaccination in absolute number
11-07-2022,15-18 Age 2nd Dose,49600881,vaccination in absolute number
10-07-2022,18+ Age 1st Dose,918215494,vaccination in absolute number
10-07-2022,18+ Age 24hr Vaccination,41586,vaccination in absolute number
10-07-2022,18+ Age 2nd Dose,846842965,vaccination in absolute number
10-07-2022,15-18 Age 1st Dose,60685288,vaccination in absolute number
10-07-2022,15-18 Age 2nd Dose,49568848,vaccination in absolute number
09-07-2022,18+ Age 1st Dose,918168154,vaccination in absolute number
09-07-2022,18+ Age 24hr Vaccination,41551,vaccination in absolute number
09-07-2022,18+ Age 2nd Dose,846539147,vaccination in absolute number
09-07-2022,15-18 Age 1st Dose,60665628,vaccination in absolute number
09-07-2022,15-18 Age 2nd Dose,49512723,vaccination in absolute number
08-07-2022,18+ Age 1st Dose,918121467,vaccination in absolute number
08-07-2022,18+ Age 24hr Vaccination,57362,vaccination in absolute number
08-07-2022,18+ Age 2nd Dose,846157548,vaccination in absolute number
08-07-2022,15-18 Age 1st Dose,60638098,vaccination in absolute number
08-07-2022,15-18 Age 2nd Dose,49428712,vaccination in absolute number
07-07-2022,18+ Age 1st Dose,918058943,vaccination in absolute number
07-07-2022,18+ Age 24hr Vaccination,35157,vaccination in absolute number
07-07-2022,18+ Age 2nd Dose,845689166,vaccination in absolute number
07-07-2022,15-18 Age 1st Dose,60598267,vaccination in absolute number
07-07-2022,15-18 Age 2nd Dose,49282099,vaccination in absolute number
06-07-2022,18+ Age 1st Dose,918019048,vaccination in absolute number
06-07-2022,18+ Age 24hr Vaccination,36141,vaccination in absolute number
06-07-2022,18+ Age 2nd Dose,845319038,vaccination in absolute number
06-07-2022,15-18 Age 1st Dose,60570755,vaccination in absolute number
06-07-2022,15-18 Age 2nd Dose,49203714,vaccination in absolute number
05-07-2022,18+ Age 1st Dose,917977751,vaccination in absolute number
05-07-2022,18+ Age 24hr Vaccination,42341,vaccination in absolute number
05-07-2022,18+ Age 2nd Dose,844950856,vaccination in absolute number
05-07-2022,15-18 Age 1st Dose,60547867,vaccination in absolute number
05-07-2022,15-18 Age 2nd Dose,49123133,vaccination in absolute number
04-07-2022,18+ Age 1st Dose,917934093,vaccination in absolute number
04-07-2022,18+ Age 24hr Vaccination,4889,vaccination in absolute number
04-07-2022,18+ Age 2nd Dose,844585964,vaccination in absolute number
04-07-2022,15-18 Age 1st Dose,60519574,vaccination in absolute number
04-07-2022,15-18 Age 2nd Dose,49038764,vaccination in absolute number
03-07-2022,18+ Age 1st Dose,917925942,vaccination in absolute number
03-07-2022,18+ Age 24hr Vaccination,35491,vaccination in absolute number
03-07-2022,18+ Age 2nd Dose,844496286,vaccination in absolute number
03-07-2022,15-18 Age 1st Dose,60514353,vaccination in absolute number
03-07-2022,15-18 Age 2nd Dose,49021990,vaccination in absolute number
02-07-2022,18+ Age 1st Dose,917886252,vaccination in absolute number
02-07-2022,18+ Age 24hr Vaccination,35650,vaccination in absolute number
02-07-2022,18+ Age 2nd Dose,844180088,vaccination in absolute number
02-07-2022,15-18 Age 1st Dose,60490350,vaccination in absolute number
02-07-2022,15-18 Age 2nd Dose,48946846,vaccination in absolute number
01-07-2022,18+ Age 1st Dose,917845094,vaccination in absolute number
01-07-2022,18+ Age 24hr Vaccination,50687,vaccination in absolute number
01-07-2022,18+ Age 2nd Dose,843818640,vaccination in absolute number
01-07-2022,15-18 Age 1st Dose,60466116,vaccination in absolute number
01-07-2022,15-18 Age 2nd Dose,48871705,vaccination in absolute number
30-06-2022,18+ Age 1st Dose,917789203,vaccination in absolute number
30-06-2022,18+ Age 24hr Vaccination,50457,vaccination in absolute number
30-06-2022,18+ Age 2nd Dose,843388408,vaccination in absolute number
30-06-2022,15-18 Age 1st Dose,60432621,vaccination in absolute number
30-06-2022,15-18 Age 2nd Dose,48775997,vaccination in absolute number
29-06-2022,18+ Age 1st Dose,917733252,vaccination in absolute number
29-06-2022,18+ Age 24hr Vaccination,47387,vaccination in absolute number
29-06-2022,18+ Age 2nd Dose,842900009,vaccination in absolute number
29-06-2022,15-18 Age 1st Dose,60393817,vaccination in absolute number
29-06-2022,15-18 Age 2nd Dose,48659660,vaccination in absolute number
28-06-2022,18+ Age 1st Dose,917679015,vaccination in absolute number
28-06-2022,18+ Age 24hr Vaccination,65864,vaccination in absolute number
28-06-2022,18+ Age 2nd Dose,842395833,vaccination in absolute number
28-06-2022,15-18 Age 1st Dose,60358595,vaccination in absolute number
28-06-2022,15-18 Age 2nd Dose,48554875,vaccination in absolute number
27-06-2022,18+ Age 1st Dose,917611059,vaccination in absolute number
27-06-2022,18+ Age 24hr Vaccination,6278,vaccination in absolute number
27-06-2022,18+ Age 2nd Dose,841789979,vaccination in absolute number
27-06-2022,15-18 Age 1st Dose,60310898,vaccination in absolute number
27-06-2022,15-18 Age 2nd Dose,48394953,vaccination in absolute number
26-06-2022,18+ Age 1st Dose,917601170,vaccination in absolute number
26-06-2022,18+ Age 24hr Vaccination,49150,vaccination in absolute number
26-06-2022,18+ Age 2nd Dose,841648819,vaccination in absolute number
26-06-2022,15-18 Age 1st Dose,60305517,vaccination in absolute number
26-06-2022,15-18 Age 2nd Dose,48371073,vaccination in absolute number
25-06-2022,18+ Age 1st Dose,917544241,vaccination in absolute number
25-06-2022,18+ Age 24hr Vaccination,50690,vaccination in absolute number
25-06-2022,18+ Age 2nd Dose,841171063,vaccination in absolute number
25-06-2022,15-18 Age 1st Dose,60272529,vaccination in absolute number
25-06-2022,15-18 Age 2nd Dose,48278560,vaccination in absolute number
24-06-2022,18+ Age 1st Dose,917487399,vaccination in absolute number
24-06-2022,18+ Age 24hr Vaccination,40760,vaccination in absolute number
24-06-2022,18+ Age 2nd Dose,840570297,vaccination in absolute number
24-06-2022,15-18 Age 1st Dose,60228410,vaccination in absolute number
24-06-2022,15-18 Age 2nd Dose,48152150,vaccination in absolute number
23-06-2022,18+ Age 1st Dose,917440283,vaccination in absolute number
23-06-2022,18+ Age 24hr Vaccination,39870,vaccination in absolute number
23-06-2022,18+ Age 2nd Dose,840007966,vaccination in absolute number
23-06-2022,15-18 Age 1st Dose,60192784,vaccination in absolute number
23-06-2022,15-18 Age 2nd Dose,48041520,vaccination in absolute number
22-06-2022,18+ Age 1st Dose,917394798,vaccination in absolute number
22-06-2022,18+ Age 24hr Vaccination,37056,vaccination in absolute number
22-06-2022,18+ Age 2nd Dose,839425308,vaccination in absolute number
22-06-2022,15-18 Age 1st Dose,60160299,vaccination in absolute number
22-06-2022,15-18 Age 2nd Dose,47937456,vaccination in absolute number
21-06-2022,18+ Age 1st Dose,917352333,vaccination in absolute number
21-06-2022,18+ Age 24hr Vaccination,39790,vaccination in absolute number
21-06-2022,18+ Age 2nd Dose,838901170,vaccination in absolute number
21-06-2022,15-18 Age 1st Dose,60128335,vaccination in absolute number
21-06-2022,15-18 Age 2nd Dose,47832947,vaccination in absolute number
20-06-2022,18+ Age 1st Dose,917309131,vaccination in absolute number
20-06-2022,18+ Age 24hr Vaccination,7007,vaccination in absolute number
20-06-2022,18+ Age 2nd Dose,838374780,vaccination in absolute number
20-06-2022,15-18 Age 1st Dose,60095187,vaccination in absolute number
20-06-2022,15-18 Age 2nd Dose,47730214,vaccination in absolute number
19-06-2022,18+ Age 1st Dose,917299258,vaccination in absolute number
19-06-2022,18+ Age 24hr Vaccination,38581,vaccination in absolute number
19-06-2022,18+ Age 2nd Dose,838211399,vaccination in absolute number
19-06-2022,15-18 Age 1st Dose,60083258,vaccination in absolute number
19-06-2022,15-18 Age 2nd Dose,47703955,vaccination in absolute number
18-06-2022,18+ Age 1st Dose,917256033,vaccination in absolute number
18-06-2022,18+ Age 24hr Vaccination,45846,vaccination in absolute number
18-06-2022,18+ Age 2nd Dose,837702028,vaccination in absolute number
18-06-2022,15-18 Age 1st Dose,60054228,vaccination in absolute number
18-06-2022,15-18 Age 2nd Dose,47606177,vaccination in absolute number
17-06-2022,18+ Age 1st Dose,917204388,vaccination in absolute number
17-06-2022,18+ Age 24hr Vaccination,50574,vaccination in absolute number
17-06-2022,18+ Age 2nd Dose,837080750,vaccination in absolute number
17-06-2022,15-18 Age 1st Dose,60015573,vaccination in absolute number
17-06-2022,15-18 Age 2nd Dose,47473183,vaccination in absolute number
16-06-2022,18+ Age 1st Dose,917144382,vaccination in absolute number
16-06-2022,18+ Age 24hr Vaccination,43313,vaccination in absolute number
16-06-2022,18+ Age 2nd Dose,836437141,vaccination in absolute number
16-06-2022,15-18 Age 1st Dose,59976091,vaccination in absolute number
16-06-2022,15-18 Age 2nd Dose,47350637,vaccination in absolute number
15-06-2022,18+ Age 1st Dose,917094323,vaccination in absolute number
15-06-2022,18+ Age 24hr Vaccination,37975,vaccination in absolute number
15-06-2022,18+ Age 2nd Dose,835831820,vaccination in absolute number
15-06-2022,15-18 Age 1st Dose,59940200,vaccination in absolute number
15-06-2022,15-18 Age 2nd Dose,47235257,vaccination in absolute number
14-06-2022,18+ Age 1st Dose,917046505,vaccination in absolute number
14-06-2022,18+ Age 24hr Vaccination,46969,vaccination in absolute number
14-06-2022,18+ Age 2nd Dose,835230532,vaccination in absolute number
14-06-2022,15-18 Age 1st Dose,59904925,vaccination in absolute number
14-06-2022,15-18 Age 2nd Dose,47115299,vaccination in absolute number
13-06-2022,18+ Age 1st Dose,916987629,vaccination in absolute number
13-06-2022,18+ Age 24hr Vaccination,108981,vaccination in absolute number
13-06-2022,18+ Age 2nd Dose,834570872,vaccination in absolute number
13-06-2022,15-18 Age 1st Dose,59865545,vaccination in absolute number
13-06-2022,15-18 Age 2nd Dose,47000805,vaccination in absolute number
12-06-2022,18+ Age 1st Dose,916874191,vaccination in absolute number
12-06-2022,18+ Age 24hr Vaccination,45300,vaccination in absolute number
12-06-2022,18+ Age 2nd Dose,833742563,vaccination in absolute number
12-06-2022,15-18 Age 1st Dose,59850178,vaccination in absolute number
12-06-2022,15-18 Age 2nd Dose,46954612,vaccination in absolute number
11-06-2022,18+ Age 1st Dose,916823664,vaccination in absolute number
11-06-2022,18+ Age 24hr Vaccination,46424,vaccination in absolute number
11-06-2022,18+ Age 2nd Dose,833166066,vaccination in absolute number
11-06-2022,15-18 Age 1st Dose,59815396,vaccination in absolute number
11-06-2022,15-18 Age 2nd Dose,46846961,vaccination in absolute number
10-06-2022,18+ Age 1st Dose,916773045,vaccination in absolute number
10-06-2022,18+ Age 24hr Vaccination,50000,vaccination in absolute number
10-06-2022,18+ Age 2nd Dose,832500604,vaccination in absolute number
10-06-2022,15-18 Age 1st Dose,59772453,vaccination in absolute number
10-06-2022,15-18 Age 2nd Dose,46726172,vaccination in absolute number
09-06-2022,18+ Age 1st Dose,916717411,vaccination in absolute number
09-06-2022,18+ Age 24hr Vaccination,43853,vaccination in absolute number
09-06-2022,18+ Age 2nd Dose,831825544,vaccination in absolute number
09-06-2022,15-18 Age 1st Dose,59725601,vaccination in absolute number
09-06-2022,15-18 Age 2nd Dose,46592856,vaccination in absolute number
08-06-2022,18+ Age 1st Dose,916668251,vaccination in absolute number
08-06-2022,18+ Age 24hr Vaccination,50944,vaccination in absolute number
08-06-2022,18+ Age 2nd Dose,831218936,vaccination in absolute number
08-06-2022,15-18 Age 1st Dose,59692001,vaccination in absolute number
08-06-2022,15-18 Age 2nd Dose,46478107,vaccination in absolute number
07-06-2022,18+ Age 1st Dose,916611857,vaccination in absolute number
07-06-2022,18+ Age 24hr Vaccination,48702,vaccination in absolute number
07-06-2022,18+ Age 2nd Dose,830601330,vaccination in absolute number
07-06-2022,15-18 Age 1st Dose,59649519,vaccination in absolute number
07-06-2022,15-18 Age 2nd Dose,46346970,vaccination in absolute number
06-06-2022,18+ Age 1st Dose,916561456,vaccination in absolute number
06-06-2022,18+ Age 24hr Vaccination,6146,vaccination in absolute number
06-06-2022,18+ Age 2nd Dose,830060632,vaccination in absolute number
06-06-2022,15-18 Age 1st Dose,59613584,vaccination in absolute number
06-06-2022,15-18 Age 2nd Dose,46241177,vaccination in absolute number
05-06-2022,18+ Age 1st Dose,916552136,vaccination in absolute number
05-06-2022,18+ Age 24hr Vaccination,41368,vaccination in absolute number
05-06-2022,18+ Age 2nd Dose,829921878,vaccination in absolute number
05-06-2022,15-18 Age 1st Dose,59603983,vaccination in absolute number
05-06-2022,15-18 Age 2nd Dose,46209095,vaccination in absolute number
04-06-2022,18+ Age 1st Dose,916505668,vaccination in absolute number
04-06-2022,18+ Age 24hr Vaccination,36165,vaccination in absolute number
04-06-2022,18+ Age 2nd Dose,829451194,vaccination in absolute number
04-06-2022,15-18 Age 1st Dose,59577787,vaccination in absolute number
04-06-2022,15-18 Age 2nd Dose,46114291,vaccination in absolute number
03-06-2022,18+ Age 1st Dose,916464347,vaccination in absolute number
03-06-2022,18+ Age 24hr Vaccination,42489,vaccination in absolute number
03-06-2022,18+ Age 2nd Dose,828966767,vaccination in absolute number
03-06-2022,15-18 Age 1st Dose,59551915,vaccination in absolute number
03-06-2022,15-18 Age 2nd Dose,46019813,vaccination in absolute number
02-06-2022,18+ Age 1st Dose,916414537,vaccination in absolute number
02-06-2022,18+ Age 24hr Vaccination,43601,vaccination in absolute number
02-06-2022,18+ Age 2nd Dose,828477371,vaccination in absolute number
02-06-2022,15-18 Age 1st Dose,59527972,vaccination in absolute number
02-06-2022,15-18 Age 2nd Dose,45917988,vaccination in absolute number
01-06-2022,18+ Age 1st Dose,916364831,vaccination in absolute number
01-06-2022,18+ Age 24hr Vaccination,40415,vaccination in absolute number
01-06-2022,18+ Age 2nd Dose,828041465,vaccination in absolute number
01-06-2022,15-18 Age 1st Dose,59503617,vaccination in absolute number
01-06-2022,15-18 Age 2nd Dose,45827863,vaccination in absolute number
31-05-2022,18+ Age 1st Dose,916317104,vaccination in absolute number
31-05-2022,18+ Age 24hr Vaccination,49246,vaccination in absolute number
31-05-2022,18+ Age 2nd Dose,827613152,vaccination in absolute number
31-05-2022,15-18 Age 1st Dose,59473034,vaccination in absolute number
31-05-2022,15-18 Age 2nd Dose,45729616,vaccination in absolute number
30-05-2022,18+ Age 1st Dose,916266795,vaccination in absolute number
30-05-2022,18+ Age 2nd Dose,827170470,vaccination in absolute number
30-05-2022,15-18 Age 1st Dose,59438903,vaccination in absolute number
30-05-2022,15-18 Age 2nd Dose,45618932,vaccination in absolute number
29-05-2022,18+ Age 1st Dose,916255359,vaccination in absolute number
29-05-2022,18+ Age 24hr Vaccination,43264,vaccination in absolute number
29-05-2022,18+ Age 2nd Dose,827053329,vaccination in absolute number
29-05-2022,15-18 Age 1st Dose,59428860,vaccination in absolute number
29-05-2022,15-18 Age 2nd Dose,45591799,vaccination in absolute number
28-05-2022,18+ Age 1st Dose,916206463,vaccination in absolute number
28-05-2022,18+ Age 24hr Vaccination,46638,vaccination in absolute number
28-05-2022,18+ Age 2nd Dose,826549542,vaccination in absolute number
28-05-2022,15-18 Age 1st Dose,59390523,vaccination in absolute number
28-05-2022,15-18 Age 2nd Dose,45476127,vaccination in absolute number
27-05-2022,18+ Age 1st Dose,916151743,vaccination in absolute number
27-05-2022,18+ Age 24hr Vaccination,45712,vaccination in absolute number
27-05-2022,18+ Age 2nd Dose,825995838,vaccination in absolute number
27-05-2022,15-18 Age 1st Dose,59348714,vaccination in absolute number
27-05-2022,15-18 Age 2nd Dose,45340468,vaccination in absolute number
26-05-2022,18+ Age 1st Dose,916098922,vaccination in absolute number
26-05-2022,18+ Age 24hr Vaccination,43490,vaccination in absolute number
26-05-2022,18+ Age 2nd Dose,825437747,vaccination in absolute number
26-05-2022,15-18 Age 1st Dose,59302696,vaccination in absolute number
26-05-2022,15-18 Age 2nd Dose,45206782,vaccination in absolute number
25-05-2022,18+ Age 1st Dose,916047770,vaccination in absolute number
25-05-2022,18+ Age 24hr Vaccination,48335,vaccination in absolute number
25-05-2022,18+ Age 2nd Dose,824900900,vaccination in absolute number
25-05-2022,15-18 Age 1st Dose,59264516,vaccination in absolute number
25-05-2022,15-18 Age 2nd Dose,45093948,vaccination in absolute number
24-05-2022,18+ Age 1st Dose,915990642,vaccination in absolute number
24-05-2022,18+ Age 24hr Vaccination,51404,vaccination in absolute number
24-05-2022,18+ Age 2nd Dose,824383604,vaccination in absolute number
24-05-2022,15-18 Age 1st Dose,59229834,vaccination in absolute number
24-05-2022,15-18 Age 2nd Dose,44981100,vaccination in absolute number
23-05-2022,18+ Age 1st Dose,915937392,vaccination in absolute number
23-05-2022,18+ Age 24hr Vaccination,13605,vaccination in absolute number
23-05-2022,18+ Age 2nd Dose,823884841,vaccination in absolute number
23-05-2022,15-18 Age 1st Dose,59196768,vaccination in absolute number
23-05-2022,15-18 Age 2nd Dose,44868847,vaccination in absolute number
22-05-2022,18+ Age 1st Dose,915920061,vaccination in absolute number
22-05-2022,18+ Age 24hr Vaccination,46494,vaccination in absolute number
22-05-2022,18+ Age 2nd Dose,823544459,vaccination in absolute number
22-05-2022,15-18 Age 1st Dose,59184161,vaccination in absolute number
22-05-2022,15-18 Age 2nd Dose,44797935,vaccination in absolute number
21-05-2022,18+ Age 1st Dose,915865997,vaccination in absolute number
21-05-2022,18+ Age 24hr Vaccination,53764,vaccination in absolute number
21-05-2022,18+ Age 2nd Dose,823008388,vaccination in absolute number
21-05-2022,15-18 Age 1st Dose,59151229,vaccination in absolute number
21-05-2022,15-18 Age 2nd Dose,44672390,vaccination in absolute number
20-05-2022,18+ Age 1st Dose,915805872,vaccination in absolute number
20-05-2022,18+ Age 24hr Vaccination,55922,vaccination in absolute number
20-05-2022,18+ Age 2nd Dose,822422026,vaccination in absolute number
20-05-2022,15-18 Age 1st Dose,59109660,vaccination in absolute number
20-05-2022,15-18 Age 2nd Dose,44534980,vaccination in absolute number
19-05-2022,18+ Age 1st Dose,915742242,vaccination in absolute number
19-05-2022,18+ Age 24hr Vaccination,53793,vaccination in absolute number
19-05-2022,18+ Age 2nd Dose,821830775,vaccination in absolute number
19-05-2022,15-18 Age 1st Dose,59070552,vaccination in absolute number
19-05-2022,15-18 Age 2nd Dose,44390225,vaccination in absolute number
18-05-2022,18+ Age 1st Dose,915682039,vaccination in absolute number
18-05-2022,18+ Age 24hr Vaccination,56541,vaccination in absolute number
18-05-2022,18+ Age 2nd Dose,821274092,vaccination in absolute number
18-05-2022,15-18 Age 1st Dose,59043240,vaccination in absolute number
18-05-2022,15-18 Age 2nd Dose,44258800,vaccination in absolute number
17-05-2022,18+ Age 1st Dose,915620671,vaccination in absolute number
17-05-2022,18+ Age 24hr Vaccination,40941,vaccination in absolute number
17-05-2022,18+ Age 2nd Dose,820708630,vaccination in absolute number
17-05-2022,15-18 Age 1st Dose,59004371,vaccination in absolute number
17-05-2022,15-18 Age 2nd Dose,44124835,vaccination in absolute number
16-05-2022,18+ Age 1st Dose,915574710,vaccination in absolute number
